uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,WidthMax,LengthMax,DiameterMax,HeightMin,WidthMin,LengthMin,DiameterMin,AdditionalDimension,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00003E+18,1002,Adela Sobotkova,2020-01-22 08:18:36.910 GMT,Adela Sobotkova,2020-01-22 08:18:36 GMT,1002,22-Jan,Adela Sobotkova,Wall,Legacy verification,,Forest,Forest,Upper slope,Low,38.028802,22.85569,4210635.826,662867.813,1.5,29.30 (Alison''s),,East,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1002_1.jpg''}}",1.6,4,15,0,,,,,,,,Bricks - Pottery,see unit 10068,No,,,3 - damaged,Time/Post-depositional,,3 - impaired,Topographic or post-depositional/time,Unknown,,,,POINT(662867.813008 4210635.825729)
1.00002E+18,2008,Petra Hermankova,2020-01-22 10:59:15.598 GMT,Petra Hermankova,2020-01-28 15:08:21 GMT,2008,22-Jan,Petra Hermankova,Misc structure (plausible quarry),Survey,"on the top of the hill, n of the modern road, in the forest, north of the modern houses",Forest,Scrub,Hilltop,Nil,38.03169861,22.86070835,4210966.058,663301.8613,3," (Zed''s phone 2008, Garmin b 2008 ne corner )",,Southwest,"Petra''s camera 171 sw, 172 nw, 173-175","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2008_1.jpg''}}",0.5,8,14,0,,,,,,,"rectangular structure cut into the bedrock, with visible corners and stones piled up as the wall, too regular shape and dimensions to be natural phenomenon, 4.5 m is the length of most walls, see picture, possible quarry",,,No,no sample at all,,4 - seriously damaged,Time/Post-depositional,,3 - impaired,Topographic or post-depositional/time,Unknown,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2008_1.jpg''}}",POINT(663301.861316 4210966.057791)
1.00003E+18,1003,Adela Sobotkova,2020-01-22 11:30:29.365 GMT,Adela Sobotkova,2020-01-22 11:30:29 GMT,1003,22-Jan,Adela Sobotkova,Artefact scatter,Legacy verification,"ledge above cliff over the hearth site, 30 m S from suspected cistern #1001, with a gorgeous view of the Peloponnesus",Forest,Other (explain in notes) (bare),Hilltop,High,38.028384,22.856287,4210590.488,662921.1403,2,"241 (etrex 241, Garmin 48)",,West,657,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1003_1.jpg''}}",0,5,8,3,,,,,,,,Bricks - Pottery - Artefact scatter,"lots of washed out few with black and red slip, amazing stuff , 2 frags of green tile",Yes,"archaic to classical, rays , geometric decor","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/1003_1.jpg''}}",2 - minor damage,Erosion,,2 - good,Topographic or post-depositional/time,Last month,,,,POINT(662921.140309 4210590.487699)
1.00002E+18,2009,Petra Hermankova,2020-01-22 11:42:41.454 GMT,Petra Hermankova,2020-01-22 12:00:21 GMT,2009,22-Jan,Petra Hermankova,Other feature (plausible quarry),Survey,"on the top of the hill, north of the modern road, near the cliff, west of feature 2008, possible quarry",Scrub,Scrub,Hilltop,Nil,38.03173863,22.86063508,4210970.37,663295.3419,3," (zed 2009, Garmin b 2009)",,Southwest,"176-179, large worked ashlar stones left in situ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2009_1.jpg''}}",1,20,20,20,,,,,,,,,"large rectangular ashlar stones in situ, and missing rectangular rock cuttings,",No,,,N/A,Other,,4 - minimal,Not available,Unknown,,show to Jacob for assessment,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2009_1.jpg''}}",POINT(663295.3419 4210970.369679)
1.00002E+18,2010,Petra Hermankova,2020-01-22 11:55:07.387 GMT,Petra Hermankova,2020-01-22 15:00:28 GMT,2010,22-Jan,Petra Hermankova,Other feature (potential quarry),Survey,"west of feature 2009, in the same area, hilltop, north of the modern road, similar layout as 2009 and 2008, rectangular cuts in the bedrock",Forest,Scrub,Hilltop,Low,38.03156328,22.86017477,4210950.102,663255.3296,3, (zed 2010),,Northeast,"180,182","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2010_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2010_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2010_3.jpg''}}",1,15,20,20,,,,,,,,Pottery,,Yes,,,N/A,Other,,3 - impaired,Not available,Unknown,,,,POINT(663255.329619 4210950.102463)
1.00003E+18,1004,Adela Sobotkova,2020-01-22 12:17:33.573 GMT,Adela Sobotkova,2020-01-22 12:17:38 GMT,1004,22-Jan,Adela Sobotkova,Misc structure,Legacy verification,"rectangular structure partially collapsed, long walls oriented E-W, preserved up to 1.2 m. Green tile embedded in the walls. stones worked roughly, Football- sized stones.drywall. overgrown by scrub, looks mediaeval. on the edge of 10084",Forest,Scrub,Hilltop,High,38.028437,22.856784,4210597.24,662964.6469,1.5,245 (etrex),,West,663-665,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1004_1.jpg''}}",1.1,6,16,0,,,8,,,,,Bricks - Tile - Other,not much (semi worked stone),No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/1004_1.jpg''}}",3 - damaged,Time/Post-depositional,,3 - impaired,Topographic or post-depositional/time,Last month,,,,POINT(662964.646873 4210597.240057)
1.00002E+18,2011,Petra Hermankova,2020-01-23 07:12:34.298 GMT,Petra Hermankova,2020-01-23 07:12:51 GMT,2011,23-Jan,Petra Hermankova,Shaft opening,Legacy verification,"east of the fountain house, next to the modern road",Pasture (grassland),Scrub,Valley Bottom or Plain,Nil,38.02991778,22.85886967,4210765.215,663144.4301,3,"2011 (Garmin 4 2011, zed 2011, Petra 2011)",,Southwest,"Petra''s camera, Dean''s notes, classical period black slip, ottomanic ware glazed, two shafts connected by a rectangular channel facing west-east, 14 footholes across all walls","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2011_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2011_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2011_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2011_4.jpg''}}",3,1,3.3,0,0.55,0.13,,,,,"two rectangular chambers for water catchment, connected with 13 cm wide channel cut into the bedrock, the shallower shaft is 0.55 m deep, the deeper one exactly 3m with maintenance footholes cut into the walls, 14 in total visible on all sides, every 40-50 cm, the walls are covered with plaster, still mostly preserved, dimension in the drawing",Pottery,"classical period black slip, ottoman glazed pottery",Yes,,,2 - minor damage,Time/Post-depositional,,2 - good,Not available,Unknown,,,,POINT(663144.430054 4210765.215415)
1.00002E+18,2012,Petra Hermankova,2020-01-23 08:20:31.800 GMT,Petra Hermankova,2020-01-23 08:20:31 GMT,2012,23-Jan,Petra Hermankova,Shaft opening,Legacy verification,"Northeast of the fountain house,  10m north of the modern road",Pasture (grassland),Scrub,Valley Bottom or Plain,Nil,38.03000839,22.85892537,4210775.368,663149.1182,3,"2012 (zed,Petra,garmin)",,West,"Dean''s photo log, 3.5 m long shaft opening and one smaller maintenance shaft with rounded edges and plastered walls","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2012_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2012_2.jpg''}}",3.6,3.15,5.7,0,,0.8,5.4,,,,"large rectangular shaft, 3.6 m deep, elongated with bed rock cuttings around it, 2.5m n northwest is the small maintenance hole with footholes, probably five or more metres, remains of plastered walls, with debris at the bottom, the longer shaft was most likely covered with large ashlars or wooden planks, see detailed dims in the drawing",Pottery,,Yes,,,2 - minor damage,Time/Post-depositional,,2 - good,Not available,Unknown,,,,POINT(663149.118156 4210775.367691)
1.00002E+18,2013,Petra Hermankova,2020-01-23 08:41:21.288 GMT,Petra Hermankova,2020-01-23 08:43:11 GMT,2013,23-Jan,Petra Hermankova,Other feature (fountain house),Legacy verification,the fountain house,Pasture (grassland),Scrub,Valley Bottom or Plain,Medium,38.03000772,22.85847366,4210774.501,663109.4723,3,2013,,Northeast,Dean''s notes,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2013_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2013_2.jpg''}}",2.35 (from the Southeast corner of the southernmost basin),5.87,9.85,0,,,,,,,"see Tomlinson for drawing, Shawn is planning to do photogrammetry, so more detailed plan can be done later, dimensions of the inner courtyard with columns from corner to corner",Lithics - Pottery - Tile - Other architectuaral element,columns in situ,Yes,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/2013_1.jpg''}}",3 - damaged,Time/Post-depositional,excavated,2 - good,Not available,Unknown,,excavated by Tomlinson in 1969,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2013_1.jpg''}}",POINT(663109.472327 4210774.5008)
1.00003E+18,1005,Adela Sobotkova,2020-01-23 09:39:42.961 GMT,Adela Sobotkova,2020-01-23 09:40:05 GMT,1005,23-Jan,Adela Sobotkova,Misc structure,Survey,"in the forest E of site, ca 200m distance from Heraion, L shaped, N-S oriented, single course of ashlars",Forest,Forest,Lower slope,Low,38.027764,22.855909,4210521.026,662889.3348,2.1,"266 (etrex, in reach 74)",,South,"0740-742, SE,S","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1005_1.jpg''}}",40 (this is visible height of one course of ashlars),0.65,1.85 (shorter wall length),5.15 (long wall length to exterior of corner),,,1.4,,,,"all regular ashlars, .8 by .65 by .40.",Bricks - Tile,,No,,,2 - minor damage,Time/Post-depositional,,2 - good,Unknown,Unknown,,chech this out,,POINT(662889.334844 4210521.025915)
1.00002E+18,2014,Petra Hermankova,2020-01-23 10:25:43.109 GMT,Petra Hermankova,2020-01-23 10:25:43 GMT,2014,23-Jan,Petra Hermankova,Wall,Survey,"wall  running south of the cave, maybe supporting the terrace with the cave, overgrown with bushes",Scrub,Scrub,Valley Bottom or Plain,Low,38.03039159,22.85830866,4210816.809,663094.1382,3,2014,,North,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2014_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2014_2.jpg''}}",0.9,1.1,8 (continues in the bushes but could not get into them),0,,,,,,,,Bricks - Lithics - Pottery - Tile,,Yes,,,3 - damaged,Time/Post-depositional,,3 - impaired,Unknown,Unknown,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2014_1.jpg''}}",POINT(663094.138192 4210816.808758)
1.00002E+18,2015,Petra Hermankova,2020-01-23 10:43:32.630 GMT,Petra Hermankova,2020-01-23 10:43:48 GMT,2015,23-Jan,Petra Hermankova,Other feature (cave),Legacy verification,,Scrub,Scrub,Upper slope,Medium,38.03052495,22.85829232,4210831.579,663092.4079,3,2015,,North,"Dean''s notes, cave northwest of the fountain house with smaller stones around the entrance, two niches cut into the northeastern wall of the cave, one of them was made into a window, in the back of the cave is a small wall with an opening behind it, modern debris omnipresent","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2015_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2015_2.jpg''}}",2.5,3.5,8.5,0,,,,,1,door entrance width,,Bricks - Pottery - Tile,,Yes,,,2 - minor damage,Time/Post-depositional,,3 - impaired,Unknown,Other,,,,POINT(663092.407859 4210831.578551)
1.00002E+18,2016,Petra Hermankova,2020-01-23 11:06:50.214 GMT,Petra Hermankova,2020-01-23 11:06:50 GMT,2016,23-Jan,Petra Hermankova,Wall,Survey,long wall running ca 10 m north of the fountain house,Scrub,Scrub,Valley Bottom or Plain,Low,38.03016068,22.85830896,4210791.186,663094.6765,3,2016,,North,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2016_1.jpg''}}",1.25,1.7,30,0,,,,,,,"walked along, took gps points, overgrown, not really visible",Bricks - Tile,,No,,,3 - damaged,Time/Post-depositional,,3 - impaired,Unknown,Unknown,,,,POINT(663094.676462 4210791.186104)
1.00002E+18,2017,Petra Hermankova,2020-01-23 11:33:17.716 GMT,Petra Hermankova,2020-01-23 11:33:35 GMT,2017,23-Jan,Petra Hermankova,Misc structure (rectangular house),Survey,northeast of the fountain house,Pasture (grassland),Scrub,Upper slope,Low,38.03054547,22.85856537,4210834.335,663116.329,3,2017,,Northeast,"Dean''s notes,  small rectangular house with one room, clear visible corners, piled over with small stones and bushes","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2017_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2017_2.jpg''}}",0.3,9.7,5,0,,,,,,,"rectangular house, nice corner stones",Bricks - Tile,,No,,,3 - damaged,Time/Post-depositional,,3 - impaired,Unknown,Other,,,,POINT(663116.328993 4210834.335056)
1.00002E+18,2018,Petra Hermankova,2020-01-23 12:46:44.690 GMT,Petra Hermankova,2020-01-23 12:46:51 GMT,2018,23-Jan,Petra Hermankova,Other feature (quarry),Survey,"north of the modern house, north of the modern road, in the backyard of someone''s house",Forest,Scrub,Upper slope,Nil,38.03109325,22.85938556,4210896.56,663187.1027,3,2018,,West,"Dean''s notes, rectangular bedrock cuts, plausible quarry","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2018_1.jpg''}}",0.35,3,5,0,,,,,,,rectangular cuts in the bedrock,Pottery,,No,,,3 - damaged,Time/Post-depositional,,No observation,Unknown,Unknown,,,,POINT(663187.102674 4210896.559568)
1.00016E+18,1006,David Morley,2020-01-24 07:23:42.762 GMT,David Morley,2020-01-25 07:39:42 GMT,1006,24-Jan,David Morley,Chamber Tomb,Legacy verification,"Mycenaean graves -  seven registered tombs cut into the marl cliffside. More in the immediate vicinity that need to be drawn and documented. Site previously excavated by Yota Kasimi. South facing towards the sea. Currently overgrown, possible modern interference of the site (modern road and trench).",Perennial agriculture (e.g orchard or vineyard),Scrub,Lower slope,Medium,38.019931,22.899163,4209728.49,666703.7384,1.5,291,.,West,"0808 NE, 0809 east, 0810 north, 0811 west","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1006_1.jpg''}}",2,15,40,0,0,,,,,,,Other feature,"marl (sugar stone/soft rock), black slip pottery and whitish-green fineware fragments found across the site. Kasini dates them to late Helladic and Archaic periods.",No,,,3 - damaged,Excavation,time,3 - impaired,Topographic or post-depositional/time,Last month,none,,,POINT(666703.738378 4209728.490016)
1.00002E+18,2019,Petra Hermankova,2020-01-24 09:04:23.946 GMT,Petra Hermankova,2020-01-24 09:04:23 GMT,2019,24-Jan,Petra Hermankova,Wall,Legacy verification,northwestern field on the coastline,Scrub,Scrub,Valley Bottom or Plain,Low,38.0315071,22.85660713,4210937.609,662942.3186,4,2019,,Southwest,"234,235, running through the middle off the field, previously surveyed","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2019_1.jpg''}}",0.6,1.2,8,0,,,,,,,,Pottery,,No,,,3 - damaged,Time/Post-depositional,,3 - impaired,Unknown,Unknown,,,,POINT(662942.318562 4210937.608769)
1.00002E+18,2020,Petra Hermankova,2020-01-24 09:15:50.002 GMT,Petra Hermankova,2020-01-24 09:17:14 GMT,2020,24-Jan,Petra Hermankova,Wall,Legacy verification,wall north of feature 2019,Scrub,Scrub,Valley Bottom or Plain,Low,38.03155875,22.8567752,4210943.635,662956.9557,3,2020,,Northwest,"overgrown with bushes completely, 236","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2020_1.jpg''}}",0.65,1.7,5.5,0,,,,,,,,,,No,,,4 - seriously damaged,Time/Post-depositional,,4 - minimal,Unknown,Unknown,,,,POINT(662956.955703 4210943.63489)
